name,diameter,coordinates,approval year,eponym,link,cleaned_links,ethnicity
Abedin,61°44′N 10°40′W﻿ / ﻿61.73°N 10.66°W﻿ / 61.73; -10.66﻿ (Abedin),116.23,2009.0,"Zainul Abedin, Bangladeshi painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14574,https://planetarynames.wr.usgs.gov/Feature/14574,Bangladesh Origin Zainul
Abu Nuwas,17°38′N 21°11′W﻿ / ﻿17.63°N 21.19°W﻿ / 17.63; -21.19﻿ (Abu Nuwas),117.0,1976.0,"Abu Nuwas, Arabic poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/21,https://planetarynames.wr.usgs.gov/Feature/21,Syria Origin Arab
Africanus Horton,50°58′S 41°11′W﻿ / ﻿50.96°S 41.19°W﻿ / -50.96; -41.19﻿ (Africanus Horton),140.0,1976.0,"Africanus Horton, Sierra Leonean writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/76,https://planetarynames.wr.usgs.gov/Feature/76,Sierra Leone Origin
Ahmad Baba,58°20′N 128°21′W﻿ / ﻿58.33°N 128.35°W﻿ / 58.33; -128.35﻿ (Ahmad Baba),126.0,1979.0,"Ahmad Baba al Massufi, West African writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/99,https://planetarynames.wr.usgs.gov/Feature/99,Sudan Origin Abu
Ailey,45°35′N 177°55′E﻿ / ﻿45.58°N 177.92°E﻿ / 45.58; 177.92﻿ (Ailey),23.0,2012.0,"Alvin Ailey, American choreographer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14953,https://planetarynames.wr.usgs.gov/Feature/14953,United States Origin
Aksakov,34°43′N 78°44′W﻿ / ﻿34.71°N 78.74°W﻿ / 34.71; -78.74﻿ (Aksakov),174.0,2012.0,"Sergey Aksakov, Russian author",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14954,https://planetarynames.wr.usgs.gov/Feature/14954,Russia Origin Sergey
Akutagawa,48°15′N 141°05′W﻿ / ﻿48.25°N 141.09°W﻿ / 48.25; -141.09﻿ (Akutagawa),106.0,2015.0,"Ryūnosuke Akutagawa, Japanese writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15386,https://planetarynames.wr.usgs.gov/Feature/15386,Japan Origin Ryunosuke
Al-Akhtal,59°23′N 99°43′W﻿ / ﻿59.38°N 99.71°W﻿ / 59.38; -99.71﻿ (Al-Akhtal),94.29,1985.0,"Akhtal, Arab poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/144,https://planetarynames.wr.usgs.gov/Feature/144,Arabian Origin Arab
Alencar,63°38′S 103°47′W﻿ / ﻿63.64°S 103.78°W﻿ / -63.64; -103.78﻿ (Alencar),106.0,1979.0,"José de Alencar, Brazilian novelist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/176,https://planetarynames.wr.usgs.gov/Feature/176,Brazil Origin Jose
Al-Hamadhani,39°11′N 91°46′W﻿ / ﻿39.19°N 91.76°W﻿ / 39.19; -91.76﻿ (Al-Hamadhani),164.0,1979.0,"Badi' az-Zaman al-Hamadhani, Arab writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/147,https://planetarynames.wr.usgs.gov/Feature/147,Arabian Origin Arab
Al-Jāhiz,1°22′N 21°46′W﻿ / ﻿1.36°N 21.76°W﻿ / 1.36; -21.76﻿ (Al-Jāhiz),83.0,1976.0,"Al-Jahiz, Arab author",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/148,https://planetarynames.wr.usgs.gov/Feature/148,Arabian Origin Arab
Alver,66°58′S 77°15′E﻿ / ﻿66.97°S 77.25°E﻿ / -66.97; 77.25﻿ (Alver),151.0,2013.0,"Betti Alver, Estonian poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15097,https://planetarynames.wr.usgs.gov/Feature/15097,Estonia Origin Betti
Amaral,26°29′S 117°49′E﻿ / ﻿26.49°S 117.82°E﻿ / -26.49; 117.82﻿ (Amaral),105.0,2008.0,"Tarsila do Amaral, Brazilian artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14506,https://planetarynames.wr.usgs.gov/Feature/14506,Brazil Origin Tarsila
