name,diameter,coordinates,approval year,gender, famous_for,ethnicity,human_name,,continent
Abu Nuwas,17°38′N 21°11′W﻿ / ﻿17.63°N 21.19°W﻿ / 17.63; -21.19﻿ (Abu Nuwas),117,1976,Male,poet,Iran,Abu Nuwas,Abu Nuwas,Asia
Africanus Horton,50°58′S 41°11′W﻿ / ﻿50.96°S 41.19°W﻿ / -50.96; -41.19﻿ (Africanus Horton),140,1976,Male,writer,Sierra Leone ,Africanus Horton,Africanus Horton,Africa
Al-Jāhiz,1°22′N 21°46′W﻿ / ﻿1.36°N 21.76°W﻿ / 1.36; -21.76﻿ (Al-Jāhiz),83,1976,Male,author,Arabian,Al-Jahiz,Al-Jahiz,Asia
Amru Al-Qays,12°26′N 176°07′W﻿ / ﻿12.43°N 176.11°W﻿ / 12.43; -176.11﻿ (Amru Al-Qays),47,1976,Male,poet,Arabian ,Imru Al-Qays Ibn Hujr,Imru Al-Qays Ibn Hujr,Asia
Andal,47°31′S 37°43′W﻿ / ﻿47.52°S 37.71°W﻿ / -47.52; -37.71﻿ (Andal),109,1976,Female,writer,India ,Aandaal,Aandaal,Asia
Aśvaghoṣa,10°37′N 21°29′W﻿ / ﻿10.61°N 21.49°W﻿ / 10.61; -21.49﻿ (Aśvaghoṣa),88,1976,Male,poet,India ,Aśvaghoṣa,Aśvaghoṣa,Asia
Bach,69°52′S 103°01′W﻿ / ﻿69.86°S 103.01°W﻿ / -69.86; -103.01﻿ (Bach),214.29,1976,Male,composer,Germany ,Johann Sebastian Bach,Johann Sebastian Bach,Europe
Balagtas,22°34′S 13°54′W﻿ / ﻿22.56°S 13.9°W﻿ / -22.56; -13.9﻿ (Balagtas),104,1976,Male,poet,Philippines ,Francisco Balagtas,Francisco Balagtas,Asia
Balzac,10°37′N 144°40′W﻿ / ﻿10.62°N 144.67°W﻿ / 10.62; -144.67﻿ (Balzac),67,1976,Male,writer,France,Honoré de Balzac,Honoré de Balzac,Europe
Beethoven,20°52′S 124°13′W﻿ / ﻿20.86°S 124.21°W﻿ / -20.86; -124.21﻿ (Beethoven),630,1976,Male,composer,Germany ,Ludwig van Beethoven,Ludwig van Beethoven,Europe
Bello,18°52′S 120°11′W﻿ / ﻿18.87°S 120.18°W﻿ / -18.87; -120.18﻿ (Bello),139,1976,Male,writer,Venezuela,Andrés Bello,Andrés Bello,South America
Bernini,80°19′S 140°58′W﻿ / ﻿80.32°S 140.97°W﻿ / -80.32; -140.97﻿ (Bernini),168.13,1976,Male,sculptor,Italy ,Gian Lorenzo Bernini,Gian Lorenzo Bernini,Europe
Boccaccio,80°59′S 23°01′W﻿ / ﻿80.99°S 23.01°W﻿ / -80.99; -23.01﻿ (Boccaccio),151.95,1976,Male,writer,Italy ,Giovanni Boccaccio,Giovanni Boccaccio,Europe
Boethius,0°59′S 73°38′W﻿ / ﻿0.98°S 73.64°W﻿ / -0.98; -73.64﻿ (Boethius),114,1976,Male,philosopher,Romania,Anicius Manlius Severinus Boethius,Anicius Manlius Severinus Boethius,Europe
Bramante,47°14′S 61°33′W﻿ / ﻿47.23°S 61.55°W﻿ / -47.23; -61.55﻿ (Bramante),156,1976,Male,architect,Italy,Donato Bramante,Donato Bramante,Europe
Brontë,38°23′N 127°04′W﻿ / ﻿38.39°N 127.06°W﻿ / 38.39; -127.06﻿ (Brontë),68,1976,Mixed,writer,England ,The Brontë family,The Brontë family,Europe
Brunelleschi,8°56′S 22°31′W﻿ / ﻿8.94°S 22.51°W﻿ / -8.94; -22.51﻿ (Brunelleschi),128.57,1976,Male,architect,Italy ,Filippo Brunelleschi,Filippo Brunelleschi,Europe
Byron,8°26′S 33°00′W﻿ / ﻿8.44°S 33°W﻿ / -8.44; -33﻿ (Byron),106.58,1976,Male,poet,England,Lord Byron,Lord Byron,Europe
