Name,Diameter,Coordinates,Approval Year,Eponym,Link
Abedin,61°44′N 10°40′W﻿ / ﻿61.73°N 10.66°W﻿ / 61.73; -10.66﻿ (Abedin),116.23,2009,"Zainul Abedin, Bangladeshi painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14574
Abu Nuwas,17°38′N 21°11′W﻿ / ﻿17.63°N 21.19°W﻿ / 17.63; -21.19﻿ (Abu Nuwas),117,1976,"Abu Nuwas, Arabic poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/21
Africanus Horton,50°58′S 41°11′W﻿ / ﻿50.96°S 41.19°W﻿ / -50.96; -41.19﻿ (Africanus Horton),140,1976,"Africanus Horton, Sierra Leonean writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/76
Ahmad Baba,58°20′N 128°21′W﻿ / ﻿58.33°N 128.35°W﻿ / 58.33; -128.35﻿ (Ahmad Baba),126,1979,"Ahmad Baba al Massufi, West African writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/99
Ailey,45°35′N 177°55′E﻿ / ﻿45.58°N 177.92°E﻿ / 45.58; 177.92﻿ (Ailey),23,2012,"Alvin Ailey, American choreographer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14953
Aksakov,34°43′N 78°44′W﻿ / ﻿34.71°N 78.74°W﻿ / 34.71; -78.74﻿ (Aksakov),174,2012,"Sergey Aksakov, Russian author",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14954
Akutagawa,48°15′N 141°05′W﻿ / ﻿48.25°N 141.09°W﻿ / 48.25; -141.09﻿ (Akutagawa),106,2015,"Ryūnosuke Akutagawa, Japanese writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15386
Al-Akhtal,59°23′N 99°43′W﻿ / ﻿59.38°N 99.71°W﻿ / 59.38; -99.71﻿ (Al-Akhtal),94.29,1985,"Akhtal, Arab poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/144
Alencar,63°38′S 103°47′W﻿ / ﻿63.64°S 103.78°W﻿ / -63.64; -103.78﻿ (Alencar),106,1979,"José de Alencar, Brazilian novelist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/176
Al-Hamadhani,39°11′N 91°46′W﻿ / ﻿39.19°N 91.76°W﻿ / 39.19; -91.76﻿ (Al-Hamadhani),164,1979,"Badi' az-Zaman al-Hamadhani, Arab writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/147
Al-Jāhiz,1°22′N 21°46′W﻿ / ﻿1.36°N 21.76°W﻿ / 1.36; -21.76﻿ (Al-Jāhiz),83,1976,"Al-Jahiz, Arab author",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/148
Alver,66°58′S 77°15′E﻿ / ﻿66.97°S 77.25°E﻿ / -66.97; 77.25﻿ (Alver),151,2013,"Betti Alver, Estonian poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15097
Amaral,26°29′S 117°49′E﻿ / ﻿26.49°S 117.82°E﻿ / -26.49; 117.82﻿ (Amaral),105,2008,"Tarsila do Amaral, Brazilian artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14506
Amru Al-Qays,12°26′N 176°07′W﻿ / ﻿12.43°N 176.11°W﻿ / 12.43; -176.11﻿ (Amru Al-Qays),47,1976,"Imru Al-Qays Ibn Hujr, Arabic poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/244
Andal,47°31′S 37°43′W﻿ / ﻿47.52°S 37.71°W﻿ / -47.52; -37.71﻿ (Andal),109,1976,"Aandaal, Tamil writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/257
Aneirin,27°28′S 2°41′W﻿ / ﻿27.47°S 2.68°W﻿ / -27.47; -2.68﻿ (Aneirin),467,2014,"Aneirin, Welsh poet (6th century)",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15244
Angelou,80°19′N 66°43′W﻿ / ﻿80.32°N 66.71°W﻿ / 80.32; -66.71﻿ (Angelou),18,2019,"Maya Angelou, American author and poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15854
Anguissola,80°41′N 217°21′W﻿ / ﻿80.69°N 217.35°W﻿ / 80.69; -217.35﻿ (Anguissola),35,2017,"Sofonisba Anguissola, Italian painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15621
Anyte,79°30′N 210°40′W﻿ / ﻿79.5°N 210.67°W﻿ / 79.5; -210.67﻿ (Anyte),20,2017,"Anyte of Tegea, Greek poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15622
Apollodorus,30°32′N 163°17′E﻿ / ﻿30.54°N 163.28°E﻿ / 30.54; 163.28﻿ (Apollodorus),41,2008,"Apollodorus of Damascus, Ancient Greek architect",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14397
